precontext,sentence,ending,judged_meaning,example_sentence,text_only,meaning_only,text_plus_expl
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.",the difference in electrical charge between two points in a circuit expressed in volts,The circuit has a high potential difference.,"passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. She collected a battery reader and looked on earnestly, willing some life back into the old machine.",passage: the difference in electrical charge between two points in a circuit expressed in volts,"passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. She collected a battery reader and looked on earnestly, willing some life back into the old machine. Explanation: the difference in electrical charge between two points in a circuit expressed in volts"
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,"She collected a battery reader and looked on earnestly, willing some life back into the old machine.",the inherent capacity for coming into being,The project has great potential for success.,"passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. She collected a battery reader and looked on earnestly, willing some life back into the old machine.",passage: the inherent capacity for coming into being,"passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. She collected a battery reader and looked on earnestly, willing some life back into the old machine. Explanation: the inherent capacity for coming into being"
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,the difference in electrical charge between two points in a circuit expressed in volts,The circuit has a high potential difference.,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. The machine could make such wonderful clothing if it were in working order.,passage: the difference in electrical charge between two points in a circuit expressed in volts,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. The machine could make such wonderful clothing if it were in working order. Explanation: the difference in electrical charge between two points in a circuit expressed in volts
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,The machine could make such wonderful clothing if it were in working order.,the inherent capacity for coming into being,The project has great potential for success.,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. The machine could make such wonderful clothing if it were in working order.,passage: the inherent capacity for coming into being,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. The machine could make such wonderful clothing if it were in working order. Explanation: the inherent capacity for coming into being
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,the difference in electrical charge between two points in a circuit expressed in volts,The circuit has a high potential difference.,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured.,passage: the difference in electrical charge between two points in a circuit expressed in volts,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. Explanation: the difference in electrical charge between two points in a circuit expressed in volts
The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life.,The potential couldn't be measured.,,the inherent capacity for coming into being,The project has great potential for success.,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured.,passage: the inherent capacity for coming into being,passage: The old machine hummed in the corner of the workshop. Clara examined its dusty dials with a furrowed brow. She wondered if it could be brought back to life. The potential couldn't be measured. Explanation: the inherent capacity for coming into being
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.",installation from which a military force initiates operations,The troops strategized at their forward base.,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Unfortunately, the sentries saw them approaching and shot them all dead.",passage: installation from which a military force initiates operations,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Unfortunately, the sentries saw them approaching and shot them all dead. Explanation: installation from which a military force initiates operations"
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.","Unfortunately, the sentries saw them approaching and shot them all dead.",a place that the runner must touch before scoring,He slid into third base safely.,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Unfortunately, the sentries saw them approaching and shot them all dead.",passage: a place that the runner must touch before scoring,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Unfortunately, the sentries saw them approaching and shot them all dead. Explanation: a place that the runner must touch before scoring"
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,installation from which a military force initiates operations,The troops strategized at their forward base.,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. It didn't take long for the winning team to get a home run.",passage: installation from which a military force initiates operations,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. It didn't take long for the winning team to get a home run. Explanation: installation from which a military force initiates operations"
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",It didn't take long for the winning team to get a home run.,a place that the runner must touch before scoring,He slid into third base safely.,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. It didn't take long for the winning team to get a home run.",passage: a place that the runner must touch before scoring,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. It didn't take long for the winning team to get a home run. Explanation: a place that the runner must touch before scoring"
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,installation from which a military force initiates operations,The troops strategized at their forward base.,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base.",passage: installation from which a military force initiates operations,"passage: The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Explanation: installation from which a military force initiates operations"
